                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.35063,                0.40188,                0.33222,                0.84025,                 0.9901,                0.98185,                0.99286,                0.96435,                0.98934,                0.98072,                0.99269,                 0.8495,                    nan,                0.38258,                    nan,                    nan,              0.0091486,              0.0091486,              0.0091486
                     89,                0.35307,                0.41305,                0.33617,                0.84138,                0.99175,                0.98207,                0.99294,                0.96391,                0.99135,                0.97946,                0.99226,                0.84638,                    nan,                0.38582,                    nan,                    nan,              0.0091387,              0.0091387,              0.0091387
                     90,                 0.3503,                0.40508,                0.32981,                 0.8391,                0.99255,                0.98738,                0.99313,                0.96425,                0.99148,                0.98636,                0.99297,                0.84738,                    nan,                0.38668,                    nan,                    nan,              0.0091288,              0.0091288,              0.0091288
                     91,                0.35179,                0.41141,                0.33564,                0.83952,                0.99087,                0.98642,                0.99341,                0.96502,                0.98842,                0.98487,                  0.993,                 0.8506,                    nan,                0.38347,                    nan,                    nan,              0.0091189,              0.0091189,              0.0091189
                     92,                0.34743,                0.40188,                 0.3289,                 0.8388,                0.99176,                 0.9868,                0.99333,                0.96425,                0.99016,                0.98487,                0.99317,                0.84859,                    nan,                0.37977,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     93,                0.34822,                0.40396,                0.33118,                0.83985,                0.99268,                0.98587,                0.99339,                0.96661,                0.99183,                0.98556,                0.99361,                0.85102,                    nan,                0.38086,                    nan,                    nan,              0.0090991,              0.0090991,              0.0090991
                     94,                0.34413,                0.39734,                0.32607,                0.83822,                0.99118,                0.98548,                0.99297,                0.96668,                0.99147,                0.98268,                 0.9936,                0.85014,                    nan,                0.38352,                    nan,                    nan,              0.0090892,              0.0090892,              0.0090892
                     95,                 0.3497,                0.40365,                0.32695,                0.84047,                0.99218,                0.98446,                0.99343,                0.96766,                0.99115,                0.98343,                 0.9936,                0.85217,                    nan,                0.38025,                    nan,                    nan,              0.0090793,              0.0090793,              0.0090793
                     96,                0.34503,                0.39959,                0.32523,                0.83918,                0.99398,                0.98645,                0.99359,                0.96786,                0.99307,                0.98508,                0.99365,                 0.8517,                    nan,                0.38352,                    nan,                    nan,              0.0090694,              0.0090694,              0.0090694
                     97,                0.34868,                0.40665,                0.32889,                0.83868,                0.99252,                0.98631,                0.99306,                0.96588,                0.99134,                0.98498,                0.99361,                0.84946,                    nan,                0.38562,                    nan,                    nan,              0.0090595,              0.0090595,              0.0090595
