                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.29874,                0.27068,                0.25474,                0.84932,                0.80549,                0.50704,                0.61057,                0.59137,                0.80526,                0.50776,                0.61188,                   0.55,                    nan,                0.66619,                    nan,                    nan,              0.0051985,              0.0051985,              0.0051985
                    100,                0.29369,                0.27026,                0.25193,                0.84754,                0.94071,                 0.5106,                0.61749,                 0.5969,                0.94333,                0.51046,                0.62026,                0.55579,                    nan,                0.66641,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                    101,                0.29441,                0.26944,                0.25141,                0.84652,                0.85142,                0.50351,                0.61197,                0.59142,                0.84837,                0.50387,                0.61474,                0.55057,                    nan,                0.71678,                    nan,                    nan,              0.0050995,              0.0050995,              0.0050995
                    102,                0.29537,                0.26574,                0.25668,                0.84765,                0.80446,                0.49424,                0.59863,                0.57984,                0.80554,                0.49485,                0.60084,                0.54134,                    nan,                0.65188,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                    103,                0.29174,                0.26726,                0.24657,                0.84607,                0.75741,                0.50054,                0.60485,                0.58873,                0.76087,                0.50148,                0.60891,                0.54957,                    nan,                0.67574,                    nan,                    nan,              0.0050005,              0.0050005,              0.0050005
                    104,                0.28382,                0.26388,                0.24823,                 0.8394,                0.80106,                0.47041,                 0.5746,                0.55712,                0.79331,                 0.4713,                0.57705,                0.51902,                    nan,                0.66403,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                    105,                0.28572,                0.25796,                0.24339,                0.84125,                0.84617,                 0.4926,                0.60181,                0.58238,                0.84822,                0.49382,                0.60464,                0.54349,                    nan,                0.68063,                    nan,                    nan,              0.0049015,              0.0049015,              0.0049015
                    106,                0.28939,                0.26805,                0.24794,                0.84402,                0.88233,                0.47405,                0.60075,                0.57927,                0.88452,                0.47528,                0.60433,                0.54032,                    nan,                0.66498,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                    107,                 0.2878,                0.26427,                0.24207,                0.84266,                0.84985,                0.47415,                0.60177,                0.57817,                0.85254,                0.47536,                0.60456,                0.53933,                    nan,                 0.6454,                    nan,                    nan,              0.0048025,              0.0048025,              0.0048025
                    108,                0.28535,                0.25765,                0.24145,                0.84785,                0.84968,                 0.4775,                0.59124,                0.57507,                 0.8682,                0.48013,                0.59602,                0.53337,                    nan,                0.66848,                    nan,                    nan,               0.004753,               0.004753,               0.004753
